Language ID,Chinese Language,English Language,Code,app name,brief,description
'2,英语,English,en,,,
'1,简体中文,Simplified Chinese,zh,,,
'80,繁体中文,Traditional Chinese,zh-hant,,,
'8,德语,German,de,,,
'29,俄语,Russian,ru,,,
'3,日语,Japanese,ja,,,
'20,韩语,Korean,ko,,,
'13,法语,French,fr,,,
'24,荷兰语,Dutch,nl,,,
'27,葡萄牙语,Portuguese,pt,,,
'26,波兰语,Polish,pl,,,
'38,乌克兰语,Ukrainian,uk,,,
'10,西班牙语,Spanish,es,,,
'36,泰语,Thai,th,,,
'7087777431351853062,马来语,Malay,ms,,,
'7177437714516557829,越南语,Vietnamese,vi,,,
'17,意大利语,Italian,it,,,
